TotalTime,ReviewCount,Calories,SugarContent,ProteinContent,RecipeServings,Rating,predictionBasedOnText,predictionBasedOnImage,IngredientCount,InstructionCount
23,86,160.7,1.4,2.8,9.0,5,5,1,6,8
23,86,160.7,1.4,2.8,9.0,5,5,5,6,8
23,86,160.7,1.4,2.8,9.0,5,5,5,6,8
23,86,160.7,1.4,2.8,9.0,5,5,5,6,8
23,86,160.7,1.4,2.8,9.0,5,5,5,6,8
23,86,160.7,1.4,2.8,9.0,5,5,5,6,8
23,86,160.7,1.4,2.8,9.0,5,5,5,6,8
23,86,160.7,1.4,2.8,9.0,5,5,0,6,8
23,86,160.7,1.4,2.8,9.0,5,5,5,6,8
23,86,160.7,1.4,2.8,9.0,4,4,4,6,8
23,86,160.7,1.4,2.8,9.0,5,5,0,6,8
23,86,160.7,1.4,2.8,9.0,4,5,4,6,8
23,86,160.7,1.4,2.8,9.0,4,5,1,6,8
23,86,160.7,1.4,2.8,9.0,3,4,3,6,8
23,86,160.7,1.4,2.8,9.0,4,5,4,6,8
23,86,160.7,1.4,2.8,9.0,5,5,4,6,8
23,86,160.7,1.4,2.8,9.0,5,5,4,6,8
23,86,160.7,1.4,2.8,9.0,5,5,5,6,8
